Equipo,Zona,Resultado,Fuera,Bloqueado,Parado,Gol,Palo,TirosTotales,%Gol,%Fuera,%Bloqueado,%Palo,%Parado
Sevilla,12,D,3,2,0,3,0,8,37.5,37.5,25.0,0.0,0.0
Sevilla,12,E,2,2,3,0,0,7,0.0,28.57,28.57,0.0,42.86
Sevilla,12,V,6,6,3,0,0,15,0.0,40.0,40.0,0.0,20.0
Sevilla,13,D,5,3,3,1,2,14,7.14,35.71,21.43,14.29,21.43
Sevilla,13,E,1,3,5,1,0,10,10.0,10.0,30.0,0.0,50.0
Sevilla,13,V,14,7,7,3,0,31,9.68,45.16,22.58,0.0,22.58
Sevilla,14,D,3,2,2,0,0,7,0.0,42.86,28.57,0.0,28.57
Sevilla,14,E,4,3,4,0,0,11,0.0,36.36,27.27,0.0,36.36
Sevilla,14,V,11,8,8,5,1,33,15.15,33.33,24.24,3.03,24.24
Sevilla,17,D,1,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Sevilla,17,E,3,2,1,0,1,7,0.0,42.86,28.57,14.29,14.29
Sevilla,17,V,3,3,6,3,2,17,17.65,17.65,17.65,11.76,35.29
Sevilla,18,D,5,0,1,1,0,7,14.29,71.43,0.0,0.0,14.29
Sevilla,18,E,6,1,4,2,1,14,14.29,42.86,7.14,7.14,28.57
Sevilla,18,V,8,0,8,9,1,26,34.62,30.77,0.0,3.85,30.77
Sevilla,19,D,0,1,2,0,0,3,0.0,0.0,33.33,0.0,66.67
Sevilla,19,E,4,1,1,1,1,8,12.5,50.0,12.5,12.5,12.5
Sevilla,19,V,3,1,3,1,0,8,12.5,37.5,12.5,0.0,37.5
Valencia,2,D,1,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Valencia,6,E,0,0,1,0,0,1,0.0,0.0,0.0,0.0,100.0
Valencia,7,D,1,4,2,0,0,7,0.0,14.29,57.14,0.0,28.57
Valencia,7,E,2,3,1,0,0,6,0.0,33.33,50.0,0.0,16.67
Valencia,7,V,3,1,3,1,0,8,12.5,37.5,12.5,0.0,37.5
Valencia,8,D,3,4,1,0,0,8,0.0,37.5,50.0,0.0,12.5
Valencia,8,E,4,2,2,1,0,9,11.11,44.44,22.22,0.0,22.22
Valencia,8,V,4,2,3,1,0,10,10.0,40.0,20.0,0.0,30.0
Valencia,9,D,2,1,0,0,0,3,0.0,66.67,33.33,0.0,0.0
Valencia,9,E,1,3,3,0,0,7,0.0,14.29,42.86,0.0,42.86
Valencia,9,V,0,2,1,1,0,4,25.0,0.0,50.0,0.0,25.0
Valencia,12,D,7,4,0,0,0,11,0.0,63.64,36.36,0.0,0.0
Valencia,12,E,3,2,1,0,0,6,0.0,50.0,33.33,0.0,16.67
Valencia,12,V,2,3,3,5,0,13,38.46,15.38,23.08,0.0,23.08
Valencia,13,D,8,2,2,1,0,13,7.69,61.54,15.38,0.0,15.38
Valencia,13,E,6,1,3,2,1,13,15.38,46.15,7.69,7.69,23.08
Valencia,13,V,7,6,6,4,0,23,17.39,30.43,26.09,0.0,26.09
Valencia,14,D,8,1,2,0,1,12,0.0,66.67,8.33,8.33,16.67
Valencia,14,E,3,0,3,0,0,6,0.0,50.0,0.0,0.0,50.0
Valencia,14,V,4,1,4,1,0,10,10.0,40.0,10.0,0.0,40.0
Valencia,17,E,0,1,0,0,1,2,0.0,0.0,50.0,50.0,0.0
Valencia,17,V,4,0,2,0,0,6,0.0,66.67,0.0,0.0,33.33
Valencia,18,D,3,2,0,4,0,9,44.44,33.33,22.22,0.0,0.0
Valencia,18,E,3,0,2,4,0,9,44.44,33.33,0.0,0.0,22.22
