player,Zona,Equipo,Fuera,Bloqueado,Parado,Gol,Palo,TirosTotales,%Fuera,%Bloqueado,%Parado,%Gol,%Palo
Aleix Vidal,17,Alaves,0,0,1,0,0,1,0.0,0.0,100.0,0.0,0.0
Aleix Vidal,18,Alaves,1,1,0,0,0,2,50.0,50.0,0.0,0.0,0.0
Aleix Vidal,19,Alaves,0,1,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Alejandro Pozo,8,Mallorca,0,0,1,0,0,1,0.0,0.0,100.0,0.0,0.0
Alejandro Pozo,12,Mallorca,1,1,0,1,0,3,33.33,33.33,0.0,33.33,0.0
Aleksandar Trajkovski,8,Mallorca,0,1,1,0,0,2,0.0,50.0,50.0,0.0,0.0
Aleksandar Trajkovski,9,Mallorca,1,0,0,0,0,1,100.0,0.0,0.0,0.0,0.0
Aleksandar Trajkovski,12,Mallorca,2,0,0,0,0,2,100.0,0.0,0.0,0.0,0.0
Aleksandar Trajkovski,13,Mallorca,0,1,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Aleksandar Trajkovski,14,Mallorca,0,1,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Aleksandar Trajkovski,19,Mallorca,0,0,1,0,0,1,0.0,0.0,100.0,0.0,0.0
Alessandro Florenzi,7,Valencia,0,0,1,0,0,1,0.0,0.0,100.0,0.0,0.0
Alessandro Florenzi,12,Valencia,4,0,0,0,0,4,100.0,0.0,0.0,0.0,0.0
Alessandro Florenzi,18,Valencia,1,0,0,0,0,1,100.0,0.0,0.0,0.0,0.0
Alexander Isak,8,Real Sociedad,1,0,1,1,0,3,33.33,0.0,33.33,33.33,0.0
Alexander Isak,12,Real Sociedad,2,2,1,0,0,5,40.0,40.0,20.0,0.0,0.0
Alexander Isak,13,Real Sociedad,4,3,4,2,0,13,30.77,23.08,30.77,15.38,0.0
Alexander Isak,14,Real Sociedad,2,1,1,1,0,5,40.0,20.0,20.0,20.0,0.0
Alexander Isak,17,Real Sociedad,0,1,1,0,0,2,0.0,50.0,50.0,0.0,0.0
Alexander Isak,18,Real Sociedad,2,0,1,4,0,7,28.57,0.0,14.29,57.14,0.0
Alexander Isak,19,Real Sociedad,1,0,0,0,0,1,100.0,0.0,0.0,0.0,0.0
Alfonso,8,Real Betis,1,0,0,0,0,1,100.0,0.0,0.0,0.0,0.0
Alfonso,9,Real Betis,0,1,2,0,0,3,0.0,33.33,66.67,0.0,0.0
Alfonso,14,Real Betis,1,2,2,0,0,5,20.0,40.0,40.0,0.0,0.0
Alfonso,18,Real Betis,0,0,0,1,0,1,0.0,0.0,0.0,100.0,0.0
Alfonso,19,Real Betis,3,0,1,0,0,4,75.0,0.0,25.0,0.0,0.0
Anaitz Arbilla,3,Eibar,1,0,0,0,0,1,100.0,0.0,0.0,0.0,0.0
Anaitz Arbilla,7,Eibar,0,1,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Anaitz Arbilla,9,Eibar,0,0,0,1,0,1,0.0,0.0,0.0,100.0,0.0
Anaitz Arbilla,12,Eibar,0,0,1,0,0,1,0.0,0.0,100.0,0.0,0.0
Ander Barrenetxea,8,Real Sociedad,0,1,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Ander Barrenetxea,9,Real Sociedad,0,1,1,1,0,3,0.0,33.33,33.33,33.33,0.0
Ander Barrenetxea,12,Real Sociedad,1,0,0,0,0,1,100.0,0.0,0.0,0.0,0.0
Ander Barrenetxea,13,Real Sociedad,1,0,0,0,0,1,100.0,0.0,0.0,0.0,0.0
Ander Barrenetxea,14,Real Sociedad,2,1,1,0,0,4,50.0,25.0,25.0,0.0,0.0
Ander Barrenetxea,18,Real Sociedad,1,0,0,0,0,1,100.0,0.0,0.0,0.0,0.0
Ander Barrenetxea,19,Real Sociedad,0,0,2,0,0,2,0.0,0.0,100.0,0.0,0.0
Ander Capa,7,Athletic Club,1,1,1,0,0,3,33.33,33.33,33.33,0.0,0.0
Ander Capa,12,Athletic Club,0,1,0,1,0,2,0.0,50.0,0.0,50.0,0.0
Ander Capa,13,Athletic Club,0,0,1,0,0,1,0.0,0.0,100.0,0.0,0.0
Ander Capa,17,Athletic Club,1,1,1,1,0,4,25.0,25.0,25.0,25.0,0.0
Andrés Guardado,8,Real Betis,2,0,0,0,0,2,100.0,0.0,0.0,0.0,0.0
Andrés Guardado,9,Real Betis,1,0,0,0,0,1,100.0,0.0,0.0,0.0,0.0
Andrés Guardado,13,Real Betis,1,0,1,0,0,2,50.0,0.0,50.0,0.0,0.0
Andrés Guardado,14,Real Betis,2,0,1,0,0,3,66.67,0.0,33.33,0.0,0.0
Anssumane Fati,8,Barcelona,2,0,0,1,0,3,66.67,0.0,0.0,33.33,0.0
Anssumane Fati,9,Barcelona,2,1,2,0,0,5,40.0,20.0,40.0,0.0,0.0
Anssumane Fati,13,Barcelona,2,2,1,3,0,8,25.0,25.0,12.5,37.5,0.0
Anssumane Fati,14,Barcelona,4,4,0,2,0,10,40.0,40.0,0.0,20.0,0.0
Anssumane Fati,17,Barcelona,1,0,1,0,0,2,50.0,0.0,50.0,0.0,0.0
Anssumane Fati,18,Barcelona,0,0,1,1,1,3,0.0,0.0,33.33,33.33,33.33
Ante Budimir,8,Mallorca,1,1,2,0,1,5,20.0,20.0,40.0,0.0,20.0
Ante Budimir,9,Mallorca,2,1,1,0,0,4,50.0,25.0,25.0,0.0,0.0
