Equipo,Zona,Fuera,Bloqueado,Parado,Gol,Palo,TirosTotales,%Gol,%Fuera,%Bloqueado,%Palo,%Parado
Mallorca,19,2,1,2,0,0,5,0.0,40.0,20.0,0.0,40.0
Osasuna,1,2,0,1,0,0,3,0.0,66.67,0.0,0.0,33.33
Osasuna,2,2,0,0,0,0,2,0.0,100.0,0.0,0.0,0.0
Osasuna,3,2,0,1,0,0,3,0.0,66.67,0.0,0.0,33.33
Osasuna,4,1,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Osasuna,6,1,1,1,0,0,3,0.0,33.33,33.33,0.0,33.33
Osasuna,7,14,7,7,0,1,29,0.0,48.28,24.14,3.45,24.14
Osasuna,8,15,8,8,4,1,36,11.11,41.67,22.22,2.78,22.22
Osasuna,9,12,4,4,0,0,20,0.0,60.0,20.0,0.0,20.0
Osasuna,11,0,0,1,0,0,1,0.0,0.0,0.0,0.0,100.0
Osasuna,12,17,10,6,2,0,35,5.71,48.57,28.57,0.0,17.14
Osasuna,13,25,14,14,12,2,67,17.91,37.31,20.9,2.99,20.9
Osasuna,14,16,12,15,2,0,45,4.44,35.56,26.67,0.0,33.33
Osasuna,17,6,1,1,0,2,10,0.0,60.0,10.0,20.0,10.0
Osasuna,18,14,4,7,10,0,35,28.57,40.0,11.43,0.0,20.0
Osasuna,19,5,1,7,0,0,13,0.0,38.46,7.69,0.0,53.85
Real Betis,1,1,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Real Betis,2,1,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Real Betis,4,2,0,0,0,0,2,0.0,100.0,0.0,0.0,0.0
Real Betis,7,10,8,7,1,1,27,3.7,37.04,29.63,3.7,25.93
Real Betis,8,11,12,4,1,1,29,3.45,37.93,41.38,3.45,13.79
Real Betis,9,9,14,9,1,1,34,2.94,26.47,41.18,2.94,26.47
Real Betis,12,16,9,7,1,0,33,3.03,48.48,27.27,0.0,21.21
Real Betis,13,18,10,10,10,3,51,19.61,35.29,19.61,5.88,19.61
Real Betis,14,17,21,23,5,0,66,7.58,25.76,31.82,0.0,34.85
Real Betis,17,5,4,6,0,0,15,0.0,33.33,26.67,0.0,40.0
Real Betis,18,9,5,6,10,1,31,32.26,29.03,16.13,3.23,19.35
Real Betis,19,10,3,7,0,0,20,0.0,50.0,15.0,0.0,35.0
Real Madrid,1,0,0,1,0,0,1,0.0,0.0,0.0,0.0,100.0
Real Madrid,3,1,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Real Madrid,7,6,4,12,0,0,22,0.0,27.27,18.18,0.0,54.55
Real Madrid,8,25,11,12,4,2,54,7.41,46.3,20.37,3.7,22.22
Real Madrid,9,21,7,13,1,2,44,2.27,47.73,15.91,4.55,29.55
Real Madrid,12,3,9,12,4,0,28,14.29,10.71,32.14,0.0,42.86
Real Madrid,13,23,10,24,13,1,71,18.31,32.39,14.08,1.41,33.8
Real Madrid,14,21,14,23,6,1,65,9.23,32.31,21.54,1.54,35.38
Real Madrid,15,0,1,0,0,0,1,0.0,0.0,100.0,0.0,0.0
Real Madrid,17,9,3,8,1,0,21,4.76,42.86,14.29,0.0,38.1
Real Madrid,18,16,5,10,15,1,47,31.91,34.04,10.64,2.13,21.28
Real Madrid,19,8,0,12,4,2,26,15.38,30.77,0.0,7.69,46.15
Real Sociedad,2,0,0,1,0,0,1,0.0,0.0,0.0,0.0,100.0
Real Sociedad,3,0,0,0,0,1,1,0.0,0.0,0.0,100.0,0.0
Real Sociedad,5,2,0,0,0,0,2,0.0,100.0,0.0,0.0,0.0
Real Sociedad,7,8,5,5,2,0,20,10.0,40.0,25.0,0.0,25.0
Real Sociedad,8,10,16,6,1,0,33,3.03,30.3,48.48,0.0,18.18
Real Sociedad,9,6,4,3,1,0,14,7.14,42.86,28.57,0.0,21.43
Real Sociedad,12,10,10,9,3,1,33,9.09,30.3,30.3,3.03,27.27
Real Sociedad,13,32,13,17,16,1,79,20.25,40.51,16.46,1.27,21.52
Real Sociedad,14,6,12,8,2,0,28,7.14,21.43,42.86,0.0,28.57
Real Sociedad,17,5,3,3,0,0,11,0.0,45.45,27.27,0.0,27.27
Real Sociedad,18,13,6,6,14,0,39,35.9,33.33,15.38,0.0,15.38
Real Sociedad,19,3,2,8,1,0,14,7.14,21.43,14.29,0.0,57.14
Real Valladolid,3,0,0,2,0,0,2,0.0,0.0,0.0,0.0,100.0
Real Valladolid,4,2,0,0,0,0,2,0.0,100.0,0.0,0.0,0.0
Real Valladolid,6,0,0,1,0,0,1,0.0,0.0,0.0,0.0,100.0
Real Valladolid,7,9,4,4,1,0,18,5.56,50.0,22.22,0.0,22.22
Real Valladolid,8,9,9,8,0,0,26,0.0,34.62,34.62,0.0,30.77
Real Valladolid,9,11,12,3,1,0,27,3.7,40.74,44.44,0.0,11.11
Real Valladolid,12,4,10,3,0,0,17,0.0,23.53,58.82,0.0,17.65
Real Valladolid,13,15,11,12,6,0,44,13.64,34.09,25.0,0.0,27.27
Real Valladolid,14,14,7,8,2,1,32,6.25,43.75,21.88,3.12,25.0
Real Valladolid,15,1,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Real Valladolid,17,5,2,1,0,0,8,0.0,62.5,25.0,0.0,12.5
Real Valladolid,18,11,3,1,7,1,23,30.43,47.83,13.04,4.35,4.35
Real Valladolid,19,2,2,9,1,0,14,7.14,14.29,14.29,0.0,64.29
Real Valladolid,20,0,0,0,1,0,1,100.0,0.0,0.0,0.0,0.0
Sevilla,2,0,0,1,0,0,1,0.0,0.0,0.0,0.0,100.0
Sevilla,3,1,1,1,0,0,3,0.0,33.33,33.33,0.0,33.33
Sevilla,6,0,1,0,0,0,1,0.0,0.0,100.0,0.0,0.0
Sevilla,7,6,3,4,2,1,16,12.5,37.5,18.75,6.25,25.0
Sevilla,8,9,12,9,1,0,31,3.23,29.03,38.71,0.0,29.03
Sevilla,9,7,6,9,1,2,25,4.0,28.0,24.0,8.0,36.0
Sevilla,10,0,1,0,0,0,1,0.0,0.0,100.0,0.0,0.0
Sevilla,12,11,10,6,3,0,30,10.0,36.67,33.33,0.0,20.0
Sevilla,13,20,13,15,5,2,55,9.09,36.36,23.64,3.64,27.27
Sevilla,14,18,13,14,5,1,51,9.8,35.29,25.49,1.96,27.45
Sevilla,17,7,5,7,3,3,25,12.0,28.0,20.0,12.0,28.0
Sevilla,18,19,1,13,12,2,47,25.53,40.43,2.13,4.26,27.66
Sevilla,19,7,3,6,2,1,19,10.53,36.84,15.79,5.26,31.58
Valencia,2,1,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Valencia,6,0,0,1,0,0,1,0.0,0.0,0.0,0.0,100.0
Valencia,7,6,8,6,1,0,21,4.76,28.57,38.1,0.0,28.57
Valencia,8,11,8,6,2,0,27,7.41,40.74,29.63,0.0,22.22
Valencia,9,3,6,4,1,0,14,7.14,21.43,42.86,0.0,28.57
Valencia,12,12,9,4,5,0,30,16.67,40.0,30.0,0.0,13.33
Valencia,13,21,9,11,7,1,49,14.29,42.86,18.37,2.04,22.45
Valencia,14,15,2,9,1,1,28,3.57,53.57,7.14,3.57,32.14
Valencia,17,4,1,2,0,1,8,0.0,50.0,12.5,12.5,25.0
Valencia,18,12,2,3,14,0,31,45.16,38.71,6.45,0.0,9.68
Valencia,19,1,0,1,1,0,3,33.33,33.33,0.0,0.0,33.33
Villarreal,2,2,0,0,0,0,2,0.0,100.0,0.0,0.0,0.0
Villarreal,3,1,1,0,0,0,2,0.0,50.0,50.0,0.0,0.0
Villarreal,5,0,0,1,0,0,1,0.0,0.0,0.0,0.0,100.0
Villarreal,6,0,0,1,0,0,1,0.0,0.0,0.0,0.0,100.0
Villarreal,7,12,9,6,0,1,28,0.0,42.86,32.14,3.57,21.43
Villarreal,8,17,12,13,4,2,48,8.33,35.42,25.0,4.17,27.08
Villarreal,9,15,9,6,0,0,30,0.0,50.0,30.0,0.0,20.0
Villarreal,12,10,8,11,5,0,34,14.71,29.41,23.53,0.0,32.35
Villarreal,13,33,14,17,15,1,80,18.75,41.25,17.5,1.25,21.25
Villarreal,14,14,13,12,3,0,42,7.14,33.33,30.95,0.0,28.57
Villarreal,17,4,2,1,1,0,8,12.5,50.0,25.0,0.0,12.5
Villarreal,18,16,3,9,16,1,45,35.56,35.56,6.67,2.22,20.0
Villarreal,19,5,5,8,1,1,20,5.0,25.0,25.0,5.0,40.0
